Year,Quarter,Period of coverage,Breakdown,Level,Employment rate of people with mental illness,Employment rate of population ,Indicator value,Mental illness numerator,Mental illness denominator,Population numerator,Population denominator
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Croydon ,27.2%,70.8%,43.6%,"2,300","8,300","164,600","232,600"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Cumbria ,28.9%,74.5%,45.6%,"4,900","17,100","229,800","308,400"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Darlington UA ,29.0%,62.5%,33.4%,"1,700","5,700","40,900","65,400"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Derby UA ,45.3%,71.3%,26.0%,"4,600","10,200","114,900","161,200"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Derbyshire ,34.5%,75.6%,41.1%,"8,200","23,800","369,500","488,900"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Devon ,40.3%,73.4%,33.2%,"9,400","23,400","328,200","446,900"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Doncaster ,15.8%,64.9%,49.1%,"3,000","19,000","121,700","187,600"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Dorset ,35.7%,74.1%,38.4%,"4,900","13,600","174,400","235,500"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Dudley ,30.0%,68.8%,38.8%,"4,600","15,400","138,500","201,400"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Durham ,24.6%,66.3%,41.7%,"6,600","26,700","213,200","321,600"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Ealing ,19.9%,65.5%,45.6%,"1,900","9,800","140,100","213,800"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,East Riding of Yorkshire UA ,36.5%,71.9%,35.5%,"2,600","7,100","148,700","206,800"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,East Sussex ,37.7%,78.1%,40.4%,"4,200","11,200","229,500","293,800"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Enfield ,27.5%,61.2%,33.7%,"3,000","10,900","117,700","192,400"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Essex ,32.7%,74.2%,41.6%,"12,400","37,900","657,800","886,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Gateshead ,37.5%,73.6%,36.1%,"3,800","10,100","93,700","127,200"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Gloucestershire ,32.3%,75.7%,43.4%,"5,200","16,000","274,100","361,900"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Greenwich ,42.8%,62.6%,19.8%,"3,000","7,100","98,500","157,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Hackney ,*,71.5%,*,*,"7,100","108,200","151,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Halton UA ,23.1%,61.4%,38.3%,"1,700","7,400","46,900","76,400"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Hammersmith and Fulham ,53.1%,65.8%,12.8%,"4,700","8,900","82,600","125,500"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Hampshire ,37.1%,78.1%,41.0%,"13,100","35,300","642,100","822,700"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Haringey ,*,63.1%,*,*,"7,300","99,200","157,200"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Harrow ,*,76.7%,*,*,"3,000","116,700","152,200"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Hartlepool UA ,*,56.9%,*,*,"4,500","32,400","56,900"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Havering ,*,72.4%,*,*,"4,900","118,900","164,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Hertfordshire ,37.1%,76.0%,38.9%,"10,800","29,200","524,700","690,600"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Hillingdon ,32.5%,72.4%,39.9%,"2,000","6,100","120,500","166,400"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Hounslow ,48.2%,72.6%,24.4%,"3,500","7,200","119,500","164,700"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Isle of Wight UA ,25.0%,61.6%,36.5%,"2,300","9,400","53,100","86,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Islington ,48.5%,68.1%,19.6%,"4,100","8,500","96,300","141,400"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Kensington and Chelsea ,*,51.6%,*,*,*,"56,400","109,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Kent ,43.7%,74.9%,31.2%,"20,000","45,700","664,200","887,000"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Kingston upon Thames ,65.9%,69.6%,3.7%,"2,700","4,000","83,200","119,600"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Kirklees ,19.9%,67.5%,47.6%,"2,700","13,300","179,500","265,900"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Knowsley ,*,64.4%,*,*,"9,800","61,900","96,200"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Lambeth ,29.9%,71.2%,41.3%,"2,900","9,700","152,500","214,200"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Lancashire ,20.0%,70.2%,50.3%,"9,700","48,500","517,800","737,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Leeds ,20.7%,69.7%,48.9%,"6,700","32,500","365,500","524,700"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Leicester UA ,17.4%,63.7%,46.4%,"2,300","13,400","126,700","198,900"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Leicestershire ,54.9%,76.8%,22.0%,"7,700","14,000","318,100","414,000"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Lewisham ,*,64.5%,*,*,"10,400","120,200","186,400"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Lincolnshire ,29.4%,73.3%,43.9%,"7,000","23,900","312,600","426,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Liverpool ,11.9%,57.4%,45.5%,"3,100","26,100","168,400","293,100"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Luton UA ,*,63.9%,*,*,"6,200","86,200","135,000"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Manchester ,7.5%,57.6%,50.1%,"2,000","26,900","194,400","337,600"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Medway UA ,31.2%,67.4%,36.3%,"3,900","12,400","109,000","161,700"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Merton ,*,76.0%,*,*,"1,900","111,400","146,700"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Middlesbrough UA ,*,66.8%,*,*,"2,400","59,900","89,600"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Milton Keynes UA ,29.2%,74.5%,45.3%,"1,800","6,100","122,000","163,800"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Newcastle upon Tyne ,14.7%,66.6%,51.9%,"1,800","12,300","127,800","191,900"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Newham ,*,59.9%,*,*,"6,100","107,600","179,800"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Norfolk ,36.2%,74.3%,38.1%,"8,700","24,000","386,700","520,100"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,North East Lincolnshire UA ,33.9%,66.2%,32.3%,"1,900","5,700","68,300","103,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,North Lincolnshire UA ,61.1%,75.6%,14.5%,"4,400","7,200","83,200","110,000"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,North Somerset UA ,27.2%,75.8%,48.6%,"2,200","8,300","99,600","131,400"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,North Tyneside ,30.0%,73.7%,43.7%,"3,000","10,000","98,900","134,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,North Yorkshire ,22.9%,72.8%,49.9%,"3,200","14,200","258,000","354,400"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Northamptonshire ,35.4%,76.9%,41.5%,"6,200","17,600","342,900","446,000"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Northumberland ,24.8%,69.0%,44.2%,"2,800","11,300","136,500","197,900"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Nottingham UA ,12.0%,50.4%,38.4%,"1,900","16,000","105,400","208,900"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Nottinghamshire ,37.4%,75.0%,37.5%,"9,300","24,800","373,000","497,500"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Oldham ,*,59.8%,*,*,"7,800","84,600","141,500"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Oxfordshire ,36.9%,73.8%,36.9%,"6,500","17,700","303,900","411,900"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Peterborough UA ,21.1%,65.8%,44.7%,"1,300","6,300","72,400","110,100"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Plymouth UA ,21.7%,66.0%,44.4%,"2,200","10,300","115,700","175,200"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Poole UA ,72.0%,73.0%,1.0%,"2,600","3,700","65,400","89,600"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Portsmouth UA ,30.3%,72.6%,42.3%,"3,600","11,800","96,300","132,600"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Reading UA ,*,67.5%,*,*,"4,400","69,800","103,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Redbridge ,*,63.3%,*,*,"4,600","112,800","178,400"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Redcar and Cleveland UA ,*,69.5%,*,*,*,"61,700","88,800"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Richmond upon Thames ,*,74.6%,*,*,"3,200","89,000","119,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Rochdale ,43.9%,67.1%,23.2%,"3,300","7,600","89,100","132,800"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Rotherham ,*,64.9%,*,*,"8,600","106,600","164,200"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Rutland UA ,*,76.6%,*,*,*,"17,100","22,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Salford ,21.2%,68.2%,47.0%,"2,200","10,200","102,100","149,800"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Sandwell ,25.0%,62.2%,37.2%,"3,300","13,000","117,700","189,200"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Sefton ,15.5%,66.9%,51.4%,"1,400","9,100","120,700","180,400"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Sheffield ,26.3%,65.7%,39.4%,"7,600","29,100","231,000","351,800"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Shropshire ,37.1%,76.4%,39.3%,"3,400","9,200","135,800","177,900"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Slough UA ,70.3%,75.0%,4.7%,"2,400","3,500","69,400","92,500"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Solihull ,*,66.2%,*,*,"6,900","85,100","128,600"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Somerset ,17.7%,72.1%,54.4%,"3,400","19,200","235,600","326,800"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,South Gloucestershire UA ,35.0%,77.4%,42.4%,"2,400","6,900","129,800","167,700"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,South Tyneside ,*,62.8%,*,*,"5,200","61,200","97,400"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Southampton UA ,32.8%,67.9%,35.0%,"3,400","10,400","102,600","151,200"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Southend-on-Sea UA ,*,65.0%,*,*,*,"65,400","100,600"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Southwark ,38.6%,69.1%,30.5%,"3,200","8,200","138,100","200,000"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,St. Helens ,30.7%,73.1%,42.3%,"3,100","10,000","81,600","111,700"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Staffordshire ,27.7%,74.0%,46.3%,"7,200","25,800","389,300","526,100"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Stockport ,21.3%,75.1%,53.9%,"1,500","6,900","133,800","178,100"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Stockton-on-Tees UA ,40.1%,68.6%,28.5%,"4,500","11,200","84,500","123,100"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Stoke-on-Trent UA ,42.5%,65.7%,23.2%,"3,500","8,300","96,300","146,600"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Suffolk ,27.1%,74.8%,47.7%,"5,100","18,700","332,600","444,600"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Sunderland ,20.7%,64.4%,43.6%,"3,200","15,600","115,000","178,700"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Surrey ,36.3%,76.3%,40.0%,"8,400","23,000","530,900","695,800"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Sutton ,29.3%,77.0%,47.7%,"2,100","7,200","101,200","131,400"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Swindon ,34.6%,79.3%,44.7%,"2,200","6,300","100,400","126,700"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Tameside ,27.2%,73.6%,46.5%,"3,500","12,800","100,500","136,500"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Telford and Wrekin ,*,68.2%,*,*,"3,800","71,200","104,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Thurrock UA ,*,79.3%,*,*,"3,800","85,900","108,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Torbay ,36.7%,69.1%,32.3%,"2,400","6,500","53,500","77,500"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Tower Hamlets ,*,57.8%,*,*,"7,900","103,900","179,600"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Trafford ,14.1%,67.6%,53.5%,"1,500","10,800","92,100","136,200"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Wakefield ,16.0%,72.5%,56.5%,"2,600","16,100","159,400","220,000"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Walsall ,35.2%,65.7%,30.5%,"4,000","11,400","101,300","154,200"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Waltham Forest ,24.2%,62.2%,38.0%,"2,100","8,800","100,700","161,900"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Wandsworth ,54.7%,76.8%,22.1%,"6,300","11,500","171,100","222,700"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Warrington UA ,*,78.6%,*,*,"2,500","101,400","129,000"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Warwickshire ,33.6%,76.7%,43.1%,"5,200","15,500","258,400","337,100"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,West Berkshire UA ,*,86.8%,*,*,*,"87,200","100,500"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,West Sussex ,45.9%,74.2%,28.3%,"11,800","25,700","359,500","484,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Westminster ,*,61.2%,*,*,*,"117,600","192,300"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Wigan ,26.0%,70.5%,44.5%,"3,300","12,800","145,000","205,700"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Wiltshire ,35.0%,80.3%,45.2%,"3,700","10,700","226,400","282,100"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Windsor and Maidenhead UA ,59.2%,84.8%,25.6%,"1,700","2,800","75,400","88,900"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Wirral ,25.9%,66.5%,40.6%,"3,700","14,400","123,800","186,200"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Wokingham UA ,62.8%,80.0%,17.2%,"3,400","5,400","85,300","106,700"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Wolverhampton ,15.7%,58.7%,43.0%,"2,000","12,700","90,900","154,700"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,Worcestershire ,19.5%,78.4%,58.8%,"2,400","12,000","280,600","358,200"
2009,4,1/10/2009 to 31/12/2009,Unitary authority/Local area,York UA ,67.8%,78.0%,10.2%,"3,100","4,600","107,100","137,300"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Barking and Dagenham ,*,52.7%,*,*,*,"63,400","120,200"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Barnet ,*,64.3%,*,*,"7,200","144,300","224,500"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Barnsley ,14.7%,63.9%,49.2%,"1,900","13,100","94,700","148,200"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Bath and North East Somerset UA ,28.3%,72.9%,44.6%,"1,700","5,900","83,600","114,700"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Bedfordshire ,24.9%,76.2%,51.3%,"2,900","11,500","203,100","266,700"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Bexley ,35.7%,68.6%,32.8%,"3,000","8,400","103,500","151,000"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Birmingham ,27.7%,60.2%,32.5%,"11,200","40,400","391,800","651,000"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Blackburn with Darwen UA ,*,66.3%,*,*,"5,700","56,300","84,900"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Blackpool UA ,25.0%,70.6%,45.6%,"1,500","5,900","61,500","87,100"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Bolton ,21.3%,69.4%,48.1%,"3,500","16,500","120,600","173,700"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Bournemouth UA ,*,64.6%,*,*,"7,800","64,800","100,200"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Bracknell Forest UA ,*,80.8%,*,*,"2,800","55,000","68,000"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Bradford ,25.2%,63.9%,38.7%,"5,600","22,400","199,000","311,500"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Brent ,*,76.2%,*,*,"9,500","127,000","166,600"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Brighton and Hove UA ,24.0%,71.7%,47.8%,"3,700","15,500","125,100","174,400"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Bromley ,36.8%,77.8%,41.0%,"2,500","6,900","141,900","182,400"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Buckinghamshire ,*,78.2%,*,*,"4,600","250,800","320,900"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Bury ,*,75.7%,*,*,"1,900","88,800","117,300"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Calderdale ,62.7%,72.6%,9.9%,"3,400","5,400","97,700","134,600"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Cambridgeshire ,34.8%,77.4%,42.7%,"3,600","10,300","300,500","388,200"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Camden ,*,70.5%,*,*,*,"120,800","171,400"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Cheshire ,38.1%,73.4%,35.3%,"8,900","23,400","321,000","437,600"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,City of Bristol UA ,27.6%,69.8%,42.1%,"5,300","19,300","202,200","289,800"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,City of Kingston upon Hull UA ,*,65.9%,*,*,"8,900","114,800","174,100"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Cornwall and the Isles of Scilly ,23.8%,69.6%,45.9%,"5,400","22,800","235,200","337,700"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,County of Herefordshire UA ,*,76.9%,*,*,"4,100","80,900","105,100"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Coventry ,24.2%,62.6%,38.4%,"2,300","9,500","126,700","202,500"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Croydon ,*,69.5%,*,*,"11,700","161,000","231,700"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Cumbria ,27.1%,75.2%,48.1%,"4,100","15,000","230,700","307,100"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Darlington UA ,*,59.8%,*,*,"5,600","38,100","63,800"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Derby UA ,23.4%,70.6%,47.2%,"2,000","8,700","113,400","160,600"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Derbyshire ,30.3%,76.2%,45.9%,"7,700","25,400","369,000","484,300"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Devon ,30.2%,75.6%,45.4%,"6,700","22,100","331,900","439,100"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Doncaster ,19.6%,64.6%,45.0%,"3,600","18,500","122,900","190,100"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Dorset ,44.7%,73.3%,28.6%,"6,400","14,300","172,100","234,700"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Dudley ,33.9%,69.0%,35.1%,"4,400","12,900","138,100","200,300"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Durham ,20.7%,67.1%,46.4%,"6,100","29,300","214,900","320,100"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Ealing ,*,66.2%,*,*,"9,100","142,000","214,500"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,East Riding of Yorkshire UA ,49.3%,74.2%,24.9%,"2,800","5,800","153,300","206,500"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,East Sussex ,31.4%,76.0%,44.6%,"4,800","15,100","227,600","299,400"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Enfield ,24.7%,63.5%,38.9%,"3,400","13,700","123,700","194,700"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Essex ,33.6%,74.3%,40.7%,"12,800","38,000","643,400","866,000"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Gateshead ,24.8%,71.7%,47.0%,"2,400","9,700","94,000","131,000"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Gloucestershire ,34.1%,75.8%,41.7%,"5,800","17,000","278,200","366,900"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Greenwich ,45.9%,67.5%,21.6%,"3,900","8,600","106,800","158,200"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Hackney ,*,70.1%,*,*,"8,300","103,700","148,000"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Halton UA ,24.8%,57.4%,32.7%,"1,600","6,500","42,700","74,300"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Hammersmith and Fulham ,59.7%,66.0%,6.4%,"2,900","4,900","77,600","117,600"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Hampshire ,44.0%,79.1%,35.1%,"12,600","28,600","651,300","823,600"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Haringey ,37.4%,63.3%,25.8%,"1,900","5,100","100,000","158,100"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Harrow ,*,74.0%,*,*,"3,900","116,100","156,900"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Hartlepool UA ,*,57.1%,*,*,"3,300","32,700","57,300"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Havering ,47.3%,71.0%,23.7%,"2,600","5,400","110,400","155,600"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Hertfordshire ,41.2%,75.7%,34.6%,"12,100","29,500","532,900","703,600"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Hillingdon ,53.2%,75.1%,21.9%,"4,100","7,800","127,400","169,600"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Hounslow ,*,70.7%,*,*,"7,100","110,800","156,700"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Isle of Wight UA ,21.5%,64.9%,43.5%,"1,800","8,300","51,000","78,600"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Islington ,*,66.7%,*,*,"7,500","97,500","146,300"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Kensington and Chelsea ,*,61.9%,*,*,*,"67,600","109,300"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Kent ,28.3%,72.7%,44.5%,"12,600","44,600","637,100","875,900"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Kingston upon Thames ,*,69.3%,*,*,"4,500","84,100","121,300"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Kirklees ,21.9%,70.0%,48.1%,"3,400","15,600","184,600","263,700"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Knowsley ,23.7%,66.1%,42.3%,"2,300","9,600","66,900","101,300"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Lambeth ,23.5%,69.0%,45.4%,"3,100","13,300","144,400","209,400"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Lancashire ,16.6%,70.4%,53.8%,"7,100","42,800","519,800","738,900"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Leeds ,28.8%,72.2%,43.4%,"9,600","33,500","386,000","534,800"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Leicester UA ,29.6%,61.7%,32.1%,"3,800","12,700","122,000","197,800"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Leicestershire ,49.5%,76.8%,27.3%,"10,200","20,500","319,200","415,700"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Lewisham ,22.7%,64.0%,41.4%,"2,200","9,600","117,600","183,600"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Lincolnshire ,26.6%,72.6%,46.0%,"6,100","22,800","314,900","433,700"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Liverpool ,14.8%,59.1%,44.2%,"5,000","33,900","168,400","285,100"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Luton UA ,*,65.8%,*,*,"4,900","86,700","131,700"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Manchester ,17.2%,60.8%,43.6%,"4,500","25,900","197,000","324,200"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Medway UA ,45.2%,68.8%,23.6%,"4,500","9,900","113,300","164,600"
2009,3,1/7/2009 to 30/9/2009,Unitary authority/Local area,Merton ,*,74.9%,*,*,*,"104,500","139,400"
